ID,Phase,Workstream,Task,Key Files / Scope,Effort,Risk,Depends On,Acceptance Criteria,Status,Notes
P0-01,Phase 0 — Safety Net,Contract Tests,"Build API contract snapshot harness for /api/v1 (request → exact JSON shape + HTTP status), replayable against any backend",restx_api/* (46 namespaces); new test/contract/,L,Low,—,Harness records and diffs full response envelope incl. status/message/data for every namespace; runs in CI,Not Started,Foundation for every later gate
P0-02,Phase 0 — Safety Net,Contract Tests,"Snapshot validation-error shapes, CSV/file responses, and webhook CSRF-exemption behavior","restx_api/*schema.py; blueprints/chartink.py, strategy.py, flow.py, tv_json.py, gc_json.py; orders/historify CSV exports",M,Low,P0-01,"400 error bodies, CSV headers/content-type, and webhook 200-without-CSRF all snapshotted",Not Started,FastAPI default {detail:[...]} must never leak (R2)
P0-03,Phase 0 — Safety Net,Contract Tests,Build per-endpoint apikey-source matrix (body vs X-API-KEY header vs query param) and assert in tests,"restx_api/telegram_bot.py, whatsapp_bot.py (header+query); all core endpoints (body-only via Marshmallow required)",S,Med,P0-01,Matrix doc + tests proving body-only endpoints reject header-only auth and bot endpoints accept header/query,Not Started,§1a claim 7; do NOT 'fix' asymmetry during port (R15)
P0-04,Phase 0 — Safety Net,Contract Tests,"Auth/session/CSRF behavior tests: login, TOTP, /auth/csrf-token, cookie flags, session expiry, force_logout",blueprints/auth.py; utils/session.py; app.py:189-232,M,Med,—,"Cookie names/flags (HttpOnly/SameSite/Secure/__Secure- prefix), CSRF accept/reject, expiry redirect all asserted",Not Started,Session semantics are product logic (§1a claim 4)
P0-05,Phase 0 — Safety Net,Contract Tests,"Socket.IO event tests: event names, payload shapes, and long-polling transport handshake",subscribers/socketio_subscriber.py; frontend useSocket.ts event list; transports:['polling'],M,Med,—,All ~20 event names + payloads asserted; polling-only client connects and receives events,Not Started,Frontend pins polling (§1a); R13
P0-06,Phase 0 — Safety Net,Contract Tests,Order-lifecycle contract tests in sandbox mode (place → fill → squareoff → T+1 settlement),sandbox/*; services/sandbox_service.py; restx_api order endpoints,M,Med,P0-01,Full lifecycle replayable in analyzer mode with asserted envelopes and emitted events,Not Started,Protects the financially critical path (R7)
P0-07,Phase 0 — Safety Net,Startup Baseline,"Baseline current startup: enumerate every component import-time app.py starts today (DBs, caches, schedulers, bots, analyzer engine, EventBus executor, httpx, ws proxy, ngrok, db_ready event + 30s before_request gate). Do NOT codify import-time side effects as the desired end state — Phase 1 removes them. Re-use this baseline to assert lifecycle-owner PARITY after P1-10.","app.py:426-440 (db_ready gate), 660, 812-1011; websocket_proxy/app_integration.py",M,Med,—,Baseline component checklist recorded as data; identical checklist re-run after P1-10 proves lifecycle-owner starts the same set in the same order incl. db_ready gate,Not Started,Resolves P0-07/P1-10 conflict (R12); see §3.20
P0-08,Phase 0 — Safety Net,Baselines,"Performance + FD baselines: 24h soak; order p50/p99, quote latency, option-chain build, SocketIO delivery, FD/memory growth",docs/benchmarks/; log/; /proc FD monitoring,M,Low,—,Baseline numbers recorded in docs/benchmarks for later phase gates,Not Started,Gate metric for every later phase
P0-09,Phase 0 — Safety Net,CI Guard,CI coupling-count gate with EXPLICIT scope. INCLUDE dirs: services/ database/ broker/ utils/ sandbox/ websocket_proxy/ mcp/ events/. EXCLUDE: blueprints/ restx_api/ subscribers/ app.py extensions.py csp.py and any test_*/tests/ examples/. Match 'from flask import'|'import flask' and 'from extensions import socketio'|'extensions.socketio'. Fail when count rises above recorded baseline; Phase 1 drives baseline to 0.,new scripts/check_coupling.py + .github/workflows/ci.yml,S,Low,—,"Verified engine-scope baseline = 23 flask importers / 43 socketio importers (the earlier '44' counted app.py, which is excluded as shell). Gate fails on any increase; target 0 after P1-13",Not Started,Point-5 fix: scope defined so naive scan noise (app.py/csp.py/extensions.py/tests) is excluded
P0-10,Phase 0 — Safety Net,Logging Parity,"Logging/traceback baseline tests: errors.jsonl JSON schema, logger.exception traceback capture, SensitiveDataFilter redaction incl. apikey-in-query-param in access logs",utils/logging.py; log/errors.jsonl,M,Med,—,Schema asserted field-by-field; ?apikey=… never appears un-redacted in any handler output,Not Started,§3.9 — uvicorn access logs bypass central handlers by default (redaction risk)
